letter,count_all,count_uppercase,percentage
c,18,0,3.27%
K,1,1,0.18%
m,8,0,1.45%
D,1,1,0.18%
e,60,0,10.89%
t,46,0,8.35%
z,1,0,0.18%
U,1,1,0.18%
H,1,1,0.18%
p,9,0,1.63%
v,6,0,1.09%
n,41,0,7.44%
A,5,5,0.91%
q,1,0,0.18%
R,1,1,0.18%
k,3,0,0.54%
L,2,2,0.36%
E,1,1,0.18%
r,36,0,6.53%
o,34,0,6.17%
b,4,0,0.73%
C,1,1,0.18%
N,3,3,0.54%
ï,1,0,0.18%
h,15,0,2.72%
V,3,3,0.54%
I,1,1,0.18%
y,14,0,2.54%
x,2,0,0.36%
B,2,2,0.36%
g,10,0,1.81%
f,5,0,0.91%
F,2,2,0.36%
d,21,0,3.81%
s,35,0,6.35%
P,3,3,0.54%
W,1,1,0.18%
u,18,0,3.27%
â,1,0,0.18%
T,6,6,1.09%
a,49,0,8.89%
M,4,4,0.73%
i,40,0,7.26%
w,10,0,1.81%
l,20,0,3.63%
S,4,4,0.73%
