letter,count_all,count_uppercase,percentage
i,38,0,7.32%
R,1,1,0.19%
â,1,0,0.19%
T,6,6,1.16%
e,55,0,10.6%
f,4,0,0.77%
U,1,1,0.19%
I,1,1,0.19%
y,13,0,2.5%
s,33,0,6.36%
k,3,0,0.58%
c,17,0,3.28%
a,47,0,9.06%
h,15,0,2.89%
E,1,1,0.19%
d,19,0,3.66%
l,17,0,3.28%
S,4,4,0.77%
¿,1,0,0.19%
F,2,2,0.39%
A,3,3,0.58%
D,1,1,0.19%
L,2,2,0.39%
C,1,1,0.19%
P,3,3,0.58%
p,9,0,1.73%
m,7,0,1.35%
t,41,0,7.9%
u,16,0,3.08%
g,10,0,1.93%
W,1,1,0.19%
K,1,1,0.19%
H,1,1,0.19%
B,2,2,0.39%
w,9,0,1.73%
n,39,0,7.51%
V,3,3,0.58%
v,5,0,0.96%
x,2,0,0.39%
ï,1,0,0.19%
N,3,3,0.58%
r,35,0,6.74%
M,4,4,0.77%
€,1,1,0.19%
b,4,0,0.77%
z,1,0,0.19%
o,34,0,6.55%
½,1,1,0.19%
