letter,count_all,count_uppercase,percentage
b,4,0,0.58%
C,1,1,0.15%
z,1,0,0.15%
N,4,4,0.58%
l,23,0,3.36%
i,51,0,7.46%
I,1,1,0.15%
h,18,0,2.63%
d,23,0,3.36%
K,1,1,0.15%
L,3,3,0.44%
f,5,0,0.73%
A,5,5,0.73%
M,6,6,0.88%
R,1,1,0.15%
c,22,0,3.22%
w,11,0,1.61%
ï,1,0,0.15%
â,2,0,0.29%
S,6,6,0.88%
V,5,5,0.73%
p,11,0,1.61%
s,44,0,6.43%
e,78,0,11.4%
T,8,8,1.17%
D,2,2,0.29%
H,2,2,0.29%
t,54,0,7.89%
F,3,3,0.44%
E,2,2,0.29%
U,1,1,0.15%
B,3,3,0.44%
a,57,0,8.33%
v,7,0,1.02%
x,4,0,0.58%
W,1,1,0.15%
y,19,0,2.78%
m,8,0,1.17%
P,5,5,0.73%
g,12,0,1.75%
r,46,0,6.73%
u,19,0,2.78%
k,4,0,0.58%
o,44,0,6.43%
n,56,0,8.19%
